round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
2,34,3364701,82.57,147.901,1.0,0.0334,1.0,0.006212
2,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
2,41,2417597,38.477,11.468,1.0,0.2007,1.0,0.037334
2,49,10971,35.477,136.986,1.0,0.0155,1.0,0.002882
2,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
2,15,1143,71.575,72.905,1.0,0.0587,1.0,0.010924
2,14,2133,75.351,7.451,1.0,0.6048,1.0,0.112526
2,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
3,49,10971,35.477,136.986,1.0,0.0155,1.0,0.002882
3,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
3,37,8874,92.764,15.385,1.0,0.3606,1.0,0.067088
3,14,2133,75.351,7.451,1.0,0.6048,1.0,0.112526
3,22,3788,94.914,80.884,1.0,0.0702,1.0,0.013057
3,29,4003207,32.807,81.493,1.0,0.0241,1.0,0.004479
3,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
3,0,736461,79.656,68.637,1.0,0.0694,1.0,0.012913
3,39,4269318,49.07,35.686,1.0,0.0822,1.0,0.0153
3,28,21888,44.266,109.952,1.0,0.0241,1.0,0.00448
3,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
3,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
3,15,1143,71.575,72.905,1.0,0.0587,1.0,0.010924
3,23,8086,14.265,80.142,1.0,0.0106,1.0,0.001981
3,27,1378832,62.234,81.394,1.0,0.0457,1.0,0.008508
3,1,6809,68.707,11.347,1.0,0.3621,1.0,0.067371
3,47,12745,61.82,116.641,1.0,0.0317,1.0,0.005897
3,25,3116,47.29,23.406,1.0,0.1208,1.0,0.022481
3,41,2417597,38.477,11.468,1.0,0.2007,1.0,0.037334
3,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
3,34,3364701,82.57,147.901,1.0,0.0334,1.0,0.006212
3,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
3,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
3,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
3,48,6128,43.51,103.875,1.0,0.0251,1.0,0.004661
3,40,4232,99.787,128.944,1.0,0.0463,1.0,0.008611
3,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
3,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
3,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
3,20,11515,64.839,113.427,1.0,0.0342,1.0,0.00636
3,33,65074,29.196,27.204,1.0,0.0642,1.0,0.011942
3,30,12638022,85.405,5.968,1.0,0.8559,1.0,0.159234
3,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
3,12,2803244,30.021,80.194,1.0,0.0224,1.0,0.004165
3,46,7112780,28.562,106.962,1.0,0.016,1.0,0.002971
3,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
3,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
3,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
3,3,448,61.582,81.631,1.0,0.0451,1.0,0.008394
3,31,7620607,54.337,48.988,1.0,0.0663,1.0,0.012342
3,35,3401789,80.734,84.92,1.0,0.0569,1.0,0.010578
3,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
3,2,67565,21.031,42.426,1.0,0.0296,1.0,0.005516
3,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
3,13,3066,84.903,131.244,1.0,0.0387,1.0,0.007198
3,36,3229,47.698,137.695,1.0,0.0207,1.0,0.003854
3,44,5280,65.392,30.426,1.0,0.1285,1.0,0.023914
3,17,6637,62.897,124.78,1.0,0.0301,1.0,0.005609
3,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
3,18,3035969,39.186,8.936,1.0,0.2623,1.0,0.048791
4,3,448,61.582,81.631,1.0,0.0451,1.0,0.008394
4,22,3788,94.914,80.884,1.0,0.0702,1.0,0.013057
4,33,65074,29.196,27.204,1.0,0.0642,1.0,0.011942
4,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
4,1,6809,68.707,11.347,1.0,0.3621,1.0,0.067371
4,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
4,30,12638022,85.405,5.968,1.0,0.8559,1.0,0.159234
4,37,8874,92.764,15.385,1.0,0.3606,1.0,0.067088
4,20,11515,64.839,113.427,1.0,0.0342,1.0,0.00636
4,48,6128,43.51,103.875,1.0,0.0251,1.0,0.004661
4,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
4,31,7620607,54.337,48.988,1.0,0.0663,1.0,0.012342
4,39,4269318,49.07,35.686,1.0,0.0822,1.0,0.0153
4,41,2417597,38.477,11.468,1.0,0.2007,1.0,0.037334
4,2,67565,21.031,42.426,1.0,0.0296,1.0,0.005516
4,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
4,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
4,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
4,49,10971,35.477,136.986,1.0,0.0155,1.0,0.002882
4,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
4,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
4,25,3116,47.29,23.406,1.0,0.1208,1.0,0.022481
4,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
4,44,5280,65.392,30.426,1.0,0.1285,1.0,0.023914
4,15,1143,71.575,72.905,1.0,0.0587,1.0,0.010924
4,29,4003207,32.807,81.493,1.0,0.0241,1.0,0.004479
4,27,1378832,62.234,81.394,1.0,0.0457,1.0,0.008508
4,0,736461,79.656,68.637,1.0,0.0694,1.0,0.012913
4,47,12745,61.82,116.641,1.0,0.0317,1.0,0.005897
4,12,2803244,30.021,80.194,1.0,0.0224,1.0,0.004165
4,34,3364701,82.57,147.901,1.0,0.0334,1.0,0.006212
4,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
4,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
4,40,4232,99.787,128.944,1.0,0.0463,1.0,0.008611
4,46,7112780,28.562,106.962,1.0,0.016,1.0,0.002971
4,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
4,28,21888,44.266,109.952,1.0,0.0241,1.0,0.00448
4,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
4,23,8086,14.265,80.142,1.0,0.0106,1.0,0.001981
4,35,3401789,80.734,84.92,1.0,0.0569,1.0,0.010578
4,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
4,36,3229,47.698,137.695,1.0,0.0207,1.0,0.003854
4,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
4,18,3035969,39.186,8.936,1.0,0.2623,1.0,0.048791
4,17,6637,62.897,124.78,1.0,0.0301,1.0,0.005609
4,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
4,13,3066,84.903,131.244,1.0,0.0387,1.0,0.007198
4,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
4,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
4,14,2133,75.351,7.451,1.0,0.6048,1.0,0.112526
5,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
5,0,736461,79.656,68.637,1.0,0.0694,1.0,0.012913
5,29,4003207,32.807,81.493,1.0,0.0241,1.0,0.004479
5,41,2417597,38.477,11.468,1.0,0.2007,1.0,0.037334
5,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
5,1,6809,68.707,11.347,1.0,0.3621,1.0,0.067371
5,35,3401789,80.734,84.92,1.0,0.0569,1.0,0.010578
5,47,12745,61.82,116.641,1.0,0.0317,1.0,0.005897
5,40,4232,99.787,128.944,1.0,0.0463,1.0,0.008611
5,49,10971,35.477,136.986,1.0,0.0155,1.0,0.002882
5,48,6128,43.51,103.875,1.0,0.0251,1.0,0.004661
5,15,1143,71.575,72.905,1.0,0.0587,1.0,0.010924
5,36,3229,47.698,137.695,1.0,0.0207,1.0,0.003854
5,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
5,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
5,17,6637,62.897,124.78,1.0,0.0301,1.0,0.005609
5,14,2133,75.351,7.451,1.0,0.6048,1.0,0.112526
5,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
5,30,12638022,85.405,5.968,1.0,0.8559,1.0,0.159234
5,3,448,61.582,81.631,1.0,0.0451,1.0,0.008394
5,28,21888,44.266,109.952,1.0,0.0241,1.0,0.00448
5,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
5,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
5,12,2803244,30.021,80.194,1.0,0.0224,1.0,0.004165
5,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
5,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
5,25,3116,47.29,23.406,1.0,0.1208,1.0,0.022481
5,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
5,13,3066,84.903,131.244,1.0,0.0387,1.0,0.007198
5,27,1378832,62.234,81.394,1.0,0.0457,1.0,0.008508
5,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
5,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
5,20,11515,64.839,113.427,1.0,0.0342,1.0,0.00636
5,18,3035969,39.186,8.936,1.0,0.2623,1.0,0.048791
5,44,5280,65.392,30.426,1.0,0.1285,1.0,0.023914
5,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
5,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
5,31,7620607,54.337,48.988,1.0,0.0663,1.0,0.012342
5,2,67565,21.031,42.426,1.0,0.0296,1.0,0.005516
5,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
5,23,8086,14.265,80.142,1.0,0.0106,1.0,0.001981
5,34,3364701,82.57,147.901,1.0,0.0334,1.0,0.006212
5,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
5,22,3788,94.914,80.884,1.0,0.0702,1.0,0.013057
5,37,8874,92.764,15.385,1.0,0.3606,1.0,0.067088
5,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
5,39,4269318,49.07,35.686,1.0,0.0822,1.0,0.0153
5,46,7112780,28.562,106.962,1.0,0.016,1.0,0.002971
5,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
5,33,65074,29.196,27.204,1.0,0.0642,1.0,0.011942
6,27,1378832,62.234,81.394,1.0,0.0457,1.0,0.008508
6,41,2417597,38.477,11.468,1.0,0.2007,1.0,0.037334
6,30,12638022,85.405,5.968,1.0,0.8559,1.0,0.159234
6,35,3401789,80.734,84.92,1.0,0.0569,1.0,0.010578
6,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
6,20,11515,64.839,113.427,1.0,0.0342,1.0,0.00636
6,47,12745,61.82,116.641,1.0,0.0317,1.0,0.005897
6,29,4003207,32.807,81.493,1.0,0.0241,1.0,0.004479
6,1,6809,68.707,11.347,1.0,0.3621,1.0,0.067371
6,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
6,0,736461,79.656,68.637,1.0,0.0694,1.0,0.012913
6,25,3116,47.29,23.406,1.0,0.1208,1.0,0.022481
6,14,2133,75.351,7.451,1.0,0.6048,1.0,0.112526
6,33,65074,29.196,27.204,1.0,0.0642,1.0,0.011942
6,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
6,39,4269318,49.07,35.686,1.0,0.0822,1.0,0.0153
6,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
6,13,3066,84.903,131.244,1.0,0.0387,1.0,0.007198
6,15,1143,71.575,72.905,1.0,0.0587,1.0,0.010924
6,36,3229,47.698,137.695,1.0,0.0207,1.0,0.003854
6,44,5280,65.392,30.426,1.0,0.1285,1.0,0.023914
6,22,3788,94.914,80.884,1.0,0.0702,1.0,0.013057
6,28,21888,44.266,109.952,1.0,0.0241,1.0,0.00448
6,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
6,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
6,34,3364701,82.57,147.901,1.0,0.0334,1.0,0.006212
6,18,3035969,39.186,8.936,1.0,0.2623,1.0,0.048791
6,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
6,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
6,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
6,23,8086,14.265,80.142,1.0,0.0106,1.0,0.001981
6,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
6,12,2803244,30.021,80.194,1.0,0.0224,1.0,0.004165
6,48,6128,43.51,103.875,1.0,0.0251,1.0,0.004661
6,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
6,2,67565,21.031,42.426,1.0,0.0296,1.0,0.005516
6,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
6,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
6,37,8874,92.764,15.385,1.0,0.3606,1.0,0.067088
6,3,448,61.582,81.631,1.0,0.0451,1.0,0.008394
6,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
6,46,7112780,28.562,106.962,1.0,0.016,1.0,0.002971
6,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
6,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
6,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
6,17,6637,62.897,124.78,1.0,0.0301,1.0,0.005609
6,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
6,49,10971,35.477,136.986,1.0,0.0155,1.0,0.002882
6,40,4232,99.787,128.944,1.0,0.0463,1.0,0.008611
6,31,7620607,54.337,48.988,1.0,0.0663,1.0,0.012342
7,3,448,61.582,81.631,1.0,0.0451,1.0,0.008394
7,0,736461,79.656,68.637,1.0,0.0694,1.0,0.012913
7,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
7,39,4269318,49.07,35.686,1.0,0.0822,1.0,0.0153
7,2,67565,21.031,42.426,1.0,0.0296,1.0,0.005516
7,27,1378832,62.234,81.394,1.0,0.0457,1.0,0.008508
7,15,1143,71.575,72.905,1.0,0.0587,1.0,0.010924
7,49,10971,35.477,136.986,1.0,0.0155,1.0,0.002882
7,25,3116,47.29,23.406,1.0,0.1208,1.0,0.022481
7,48,6128,43.51,103.875,1.0,0.0251,1.0,0.004661
7,37,8874,92.764,15.385,1.0,0.3606,1.0,0.067088
7,30,12638022,85.405,5.968,1.0,0.8559,1.0,0.159234
7,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
7,22,3788,94.914,80.884,1.0,0.0702,1.0,0.013057
7,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
7,17,6637,62.897,124.78,1.0,0.0301,1.0,0.005609
7,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
7,34,3364701,82.57,147.901,1.0,0.0334,1.0,0.006212
7,46,7112780,28.562,106.962,1.0,0.016,1.0,0.002971
7,13,3066,84.903,131.244,1.0,0.0387,1.0,0.007198
7,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
7,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
7,23,8086,14.265,80.142,1.0,0.0106,1.0,0.001981
7,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
7,14,2133,75.351,7.451,1.0,0.6048,1.0,0.112526
7,33,65074,29.196,27.204,1.0,0.0642,1.0,0.011942
7,18,3035969,39.186,8.936,1.0,0.2623,1.0,0.048791
7,35,3401789,80.734,84.92,1.0,0.0569,1.0,0.010578
7,28,21888,44.266,109.952,1.0,0.0241,1.0,0.00448
7,12,2803244,30.021,80.194,1.0,0.0224,1.0,0.004165
7,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
7,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
7,40,4232,99.787,128.944,1.0,0.0463,1.0,0.008611
7,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
7,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
7,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
7,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
7,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
7,47,12745,61.82,116.641,1.0,0.0317,1.0,0.005897
7,20,11515,64.839,113.427,1.0,0.0342,1.0,0.00636
7,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
7,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
7,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
7,36,3229,47.698,137.695,1.0,0.0207,1.0,0.003854
7,1,6809,68.707,11.347,1.0,0.3621,1.0,0.067371
7,44,5280,65.392,30.426,1.0,0.1285,1.0,0.023914
7,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
7,31,7620607,54.337,48.988,1.0,0.0663,1.0,0.012342
7,41,2417597,38.477,11.468,1.0,0.2007,1.0,0.037334
7,29,4003207,32.807,81.493,1.0,0.0241,1.0,0.004479
8,35,3401789,80.734,84.92,1.0,0.0569,1.0,0.010578
8,40,4232,99.787,128.944,1.0,0.0463,1.0,0.008611
8,47,12745,61.82,116.641,1.0,0.0317,1.0,0.005897
8,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
8,13,3066,84.903,131.244,1.0,0.0387,1.0,0.007198
8,37,8874,92.764,15.385,1.0,0.3606,1.0,0.067088
8,1,6809,68.707,11.347,1.0,0.3621,1.0,0.067371
8,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
8,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
8,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
8,28,21888,44.266,109.952,1.0,0.0241,1.0,0.00448
8,14,2133,75.351,7.451,1.0,0.6048,1.0,0.112526
8,3,448,61.582,81.631,1.0,0.0451,1.0,0.008394
8,30,12638022,85.405,5.968,1.0,0.8559,1.0,0.159234
8,0,736461,79.656,68.637,1.0,0.0694,1.0,0.012913
8,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
8,2,67565,21.031,42.426,1.0,0.0296,1.0,0.005516
8,25,3116,47.29,23.406,1.0,0.1208,1.0,0.022481
8,17,6637,62.897,124.78,1.0,0.0301,1.0,0.005609
8,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
8,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
8,44,5280,65.392,30.426,1.0,0.1285,1.0,0.023914
8,15,1143,71.575,72.905,1.0,0.0587,1.0,0.010924
8,20,11515,64.839,113.427,1.0,0.0342,1.0,0.00636
8,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
8,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
8,33,65074,29.196,27.204,1.0,0.0642,1.0,0.011942
8,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
8,34,3364701,82.57,147.901,1.0,0.0334,1.0,0.006212
8,29,4003207,32.807,81.493,1.0,0.0241,1.0,0.004479
8,22,3788,94.914,80.884,1.0,0.0702,1.0,0.013057
8,31,7620607,54.337,48.988,1.0,0.0663,1.0,0.012342
8,48,6128,43.51,103.875,1.0,0.0251,1.0,0.004661
8,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
8,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
8,27,1378832,62.234,81.394,1.0,0.0457,1.0,0.008508
8,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
8,36,3229,47.698,137.695,1.0,0.0207,1.0,0.003854
8,18,3035969,39.186,8.936,1.0,0.2623,1.0,0.048791
8,49,10971,35.477,136.986,1.0,0.0155,1.0,0.002882
8,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
8,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
8,12,2803244,30.021,80.194,1.0,0.0224,1.0,0.004165
8,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
8,23,8086,14.265,80.142,1.0,0.0106,1.0,0.001981
8,39,4269318,49.07,35.686,1.0,0.0822,1.0,0.0153
8,41,2417597,38.477,11.468,1.0,0.2007,1.0,0.037334
8,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
8,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
8,46,7112780,28.562,106.962,1.0,0.016,1.0,0.002971
9,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
9,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
9,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
9,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
9,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
9,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
9,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
9,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
9,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
9,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
9,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
9,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
9,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
9,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
9,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
9,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
9,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
9,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
